posting_id,job_board_id,source,company_name,canonical_url,title,project,location,employment_type,remote_type,writer_match_confidence,is_active,first_seen_at,last_updated,description
0e3357de-e785-4430-8077-7b8334c4826d,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Gaya Studios,https://forms.monday.com/forms/22693ac548fa0948ec8ab200145dcbf9?r=use1,Level Designer,,"Bucharest, Romania",,remote,0.34,True,2026-06-22 18:55:42.921059+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be based in Eastern Europe and fluent in English"", ""technical_details"": {""skills"": [""Unreal"", ""Unity""], ""languages"": [""English""], ""minimum_years"": null}}"
53302b81-f206-4097-8e58-ae5bb7648fae,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Volmi Games,https://fa-exhj-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1999,Level Designer,,"Kyiv, Ukraine",,hybrid,0.34,True,2026-06-22 18:55:42.918090+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be based in Ukraine and fluent in English"", ""technical_details"": {""skills"": [], ""languages"": [""English""], ""minimum_years"": null}}"
7663f217-bd2e-488b-b787-c98efc454258,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Amber,https://jobs.jobvite.com/amberstudiocareers/job/ouXOsfwr,Level Designer,,"Bucharest, Romania",,remote,0.34,True,2026-06-22 18:55:42.915191+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [""Unreal"", ""Unity"", ""C#"", ""C++"", ""Python""], ""languages"": [], ""minimum_years"": null}}"
6c3c7ac8-a45f-4a76-a156-125590acf6da,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Sony Interactive Entertainment,https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5989156004,Mission Designer,,"Bend, Oregon, United States",,onsite,0.88,True,2026-06-22 18:55:42.914932+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Technical Mission Designer"", ""technical_details"": {""skills"": [""C++""], ""languages"": [], ""minimum_years"": null}}"
d67a6bf2-9559-4993-961b-32f3a39c23b6,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Infinity Ward,https://xboxgaming.wd1.myworkdayjobs.com/en-US/External/job/Work-Remotely---USA/Narrative-Designer---Infinity-Ward--Temporary-_R027477,Narrative Designer,,"Woodland Hills, California, United States",,remote,1,True,2026-06-22 18:55:42.913617+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be US-based"", ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
8f084e52-92d6-4325-abb1-4ede1d62e063,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Criterion Games,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Narrative-Designer/214170,Narrative Designer,,"Guildford, United Kingdom, England",,hybrid,1,True,2026-06-22 18:55:42.911909+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [""Unreal"", ""Unity"", ""JIRA"", ""Confluence"", ""Perforce"", ""Jira""], ""languages"": [], ""minimum_years"": null}}"
f24234d9-d979-4465-9d20-7fc54ddd52d8,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,TapBlaze,https://tapblaze.com/career/?ashby_jid=21059cd5-d46c-48e8-85b7-28e2552cee8b,Narrative Designer,,"Los Angeles, California, United States",,onsite,1,True,2026-06-22 18:55:42.911884+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
beeffac3-fa4c-4a41-9641-0f781517acc4,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Sperasoft,https://apply.workable.com/sperasoft/j/0C84A1E07B/,Level Designer,,"Belgrade, Serbia",,hybrid,0.34,True,2026-06-22 18:55:42.909470+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [""Unreal""], ""languages"": [], ""minimum_years"": null}}"
ee773d75-a345-4348-8054-4651870cbe88,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Sperasoft,https://apply.workable.com/sperasoft/j/9DC078FD3C/,Level Designer,,"Warsaw, Mazowieckie, Poland",,hybrid,0.34,True,2026-06-22 18:55:42.909448+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [""Unreal""], ""languages"": [], ""minimum_years"": null}}"
4eb29f53-e288-4e91-9114-8e8ad7fa79ce,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Sperasoft,https://apply.workable.com/sperasoft/j/408066C36C/,Level Designer,,"Yerevan, Armenia",,hybrid,0.34,True,2026-06-22 18:55:42.909404+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [""Unreal""], ""languages"": [], ""minimum_years"": null}}"
76baf419-800e-495f-90f0-8e36d869111c,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Cloud Imperium Games,https://cloudimperiumgames.wd503.myworkdayjobs.com/en-US/CIG_Global_Careers/job/Manchester/Lead-Level-Designer_JR101127-1,Level Designer,,"Manchester, United Kingdom, England",,onsite,0.34,True,2026-06-22 18:55:42.908844+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
982e83b0-bf60-436d-8510-e4016261b07f,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Riot Games,https://www.riotgames.com/en/work-with-us/job/7919247/narrative-designer-unpublished-r-d-product-guangzhou-china,Narrative Designer,,"Guangzhou, China",,onsite,1,True,2026-06-22 18:55:42.908691+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""For an unpublished R&D product"", ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
f594781b-4fff-4074-9c19-21cca05bc634,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Volmi Games,https://fa-exhj-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2034,Level Designer,,"Kyiv, Ukraine",,hybrid,0.34,True,2026-06-22 18:55:42.906752+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be based in Ukraine and fluent in English"", ""technical_details"": {""skills"": [""Unreal"", ""Unity"", ""CryEngine""], ""languages"": [""English""], ""minimum_years"": null}}"
4c4a57e6-9e4f-47a8-bb6e-f3efb890f0e3,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Cloud Imperium Games,https://cloudimperiumgames.wd503.myworkdayjobs.com/en-US/CIG_Global_Careers/job/Manchester/Principal-Mission-Designer_JR101467-1,Mission Designer,,"Manchester, United Kingdom, England",,onsite,0.88,True,2026-06-22 18:55:42.899851+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
aedd3e1a-af2d-4789-ac31-80945ade1df8,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Cloud Imperium Games,https://cloudimperiumgames.wd503.myworkdayjobs.com/en-US/CIG_Global_Careers/job/Manchester/Mission-Designer-III_JR101425,Mission Designer,,"Manchester, United Kingdom, England",,onsite,0.88,True,2026-06-22 18:55:42.899829+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
5109318e-f5e9-4564-8689-4bdca3351469,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Fanatics,https://www.linkedin.com/jobs/view/4403562107,Narrative Designer,,"Seattle, Washington, United States",,onsite,1,True,2026-06-22 18:55:42.892205+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Narrative Designer - Sports"", ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
69d7ae4c-b81f-489c-8fc2-db61191c9a53,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Absurd Ventures,https://www.absurdventures.com/careers#5020696007,Gameplay Designer,,"Santa Monica, California, United States",,onsite,0.32,True,2026-06-22 18:55:42.890753+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [""Unreal"", ""LUA"", ""Lua""], ""languages"": [], ""minimum_years"": null}}"
87543466-8d4c-4cb8-b0dd-bf67971e0c7a,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Cloud Imperium Games,https://cloudimperiumgames.wd503.myworkdayjobs.com/en-US/CIG_Global_Careers/job/Manchester/Lead-Level-Designer_JR101075-2,Level Designer,,"Manchester, United Kingdom, England",,onsite,0.34,True,2026-06-22 18:55:42.885232+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
